id_entrance;name;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
18953;На проход между путями к Складочной улице;136;in;55.7940087553;37.5897804386;740;42;39;0;0;400;840;17
18954;На платформу Савёловская;136;out;55.793905577;37.5901431262;550;57;57;0;0;0;0;0
18955;На платформу Савёловская;136;in;55.793905577;37.5901431262;740;57;54;0;0;400;840;17
18956;К рынку;136;out;55.7938899439;37.590152506;550;47;15;0;0;700;1000;26
18957;К рынку;136;in;55.7938899439;37.590152506;740;47;15;0;0;700;1000;26
18958;На Сущёвский Вал;136;out;55.7935679024;37.5898617307;550;73;13;0;0;310;710;19
18959;На Сущёвский Вал;136;in;55.7935679024;37.5898617307;740;73;13;0;0;310;710;19
18960;К Савёловскому вокзалу и Бутырской улице;136;out;55.7940400215;37.5871228144;550;41;4;0;0;400;840;20
18961;К Савёловскому вокзалу и Бутырской улице;136;in;55.7940400215;37.5871228144;740;41;1;0;0;400;840;20
18970;К области, на северо-запад, Кольская улица;88;;55.8561248771;37.653884449;800;66;27;0;0;320;800;20
18980;К центру, на проезд Русанова;88;;55.854811698;37.6514144217;800;60;60;0;0;0;0;0
18982;К центру, на западную сторону Снежной улицы;88;;55.8545365558;37.6511080133;800;66;27;0;0;370;890;20
18990;К центру, на восточную сторону Снежной улицы;88;;55.8542989329;37.6514081685;800;66;27;0;0;320;800;20
19000;К области, на восток, Берингов проезд;88;;55.8557309234;37.6545222788;800;63;27;0;0;320;800;20
19010;На площадь между выходами;147;both;55.6516602091;37.5982086181;780;42;42;0;0;0;0;0
19020;Азовская улица на юг, западная сторона;147;both;55.6513600539;37.5982211245;780;39;39;0;0;0;0;0
19030;Азовская улица на юг, восточная сторона;147;both;55.6509223276;37.5987338897;780;32;32;0;0;0;0;0
19040;К Чонгарскому бульвару на восток;147;both;55.6512162295;37.5987213832;780;37;37;0;0;0;0;0
19050;Выход;49;out;55.7830886048;37.7192921432;840;0;0;0;0;0;;0
19051;Вход;49;in;55.7829606841;37.7194675184;680;0;0;0;0;0;0;0
19060;На западную сторону;142;both;55.7268882719;37.624828675;710;42;4;0;0;310;710;29
19070;На восточную сторону;142;both;55.7268325645;37.6256663494;710;35;0;0;0;310;710;29
19080;Рублевское шоссе;216;both;55.72877767;37.46914579;800;37;37;0;0;400;900;20
19090;Кутузовский проспект;216;both;55.72922861;37.47269256;730;76;51;1;25;400;800;21
19100;Кутузовский проспект;216;both;55.72997248;37.47308133;730;78;53;1;25;400;700;16
19110;улица Герасима Курина;216;both;55.73078589;37.47251701;730;62;37;1;25;400;900;20
19120;Смоленская площадь;56;in;55.748907956;37.582240876;550;55;0;0;0;0;0;0
19121;Смоленская площадь;56;out;55.7489349931;37.5818275939;550;55;0;0;0;0;0;0
19130;Арбат, Трилинский переулок;43;in;55.7479021458;37.5838150783;750;0;0;0;0;0;0;0
19140;На мост, на юг, по лестнице направо;38;in;55.8044792389;37.5144035606;730;54;22;0;0;380;820;20
19141;На мост, на юг, по лестнице налево;38;out;55.8044378434;37.514627096;730;54;54;0;0;0;0;0
19150;На мост, на север к Метромаркету, по лестнице налево.;38;in;55.8055306834;37.5150493297;730;34;34;0;0;0;0;0
19151;На мост, на север к Метромаркету, по лестнице направо.;38;out;55.8054396134;37.5153473769;730;34;34;0;0;0;0;0
19160;В сторону центра, из стеклянных дверей направо, потом направо. К пожарной части;38;out;55.8043722;37.51579177;730;61;0;0;0;370;520;20
19170;В сторону центра, из стеклянных дверей налево, потом налево;38;out;55.80510674;37.51634813;730;59;0;0;0;290;520;20
19180;В сторону центра, из стеклянных дверей налево, потом направо;38;out;55.8050706;37.51651906;730;60;0;0;0;360;520;20
19190;В сторону центра, из стеклянных дверей направо, потом налево. К пожарной части;38;out;55.80433601;37.51596283;730;60;0;0;0;360;520;20
19200;Сокольническая площадь, Русаковская улица, парк "Сокольники";4;both;55.78930272;37.67989579;730;39;39;0;0;0;0;0
19210;Сокольническая площадь, Русаковская улица, парк "Сокольники";4;both;55.7892344763;37.6796138713;730;39;39;0;0;0;0;0
19220;Со стороны области, к стадиону;15;both;55.72244671;37.56204223;730;0;0;0;0;0;0;0
19230;Со стороны центра, на ул. 10-летия Октября;15;both;55.72401129;37.56583549;730;0;0;0;0;0;0;0
19240;Тургеневская площадь, проспект ак. Сахарова;219;both;55.76611907;37.6371236499999;790;45;0;0;0;290;905;20
19241;Тургеневская площадь, проспект ак. Сахарова;8;in;55.7661190699999;37.6371236499999;750;47;22;0;0;290;630;18
19242;Тургеневская площадь, проспект ак. Сахарова;8;out;55.7661190699999;37.6371236499999;750;25;0;0;0;290;630;18
19243;Тургеневская площадь, проспект ак. Сахарова;95;both;55.7661190699999;37.6371236499999;790;68;23;0;0;290;905;20
19244;Сретенский бульвар, проспект ак. Сахарова, здание Lukoil;219;both;55.7663399296;37.6367092064;790;45;0;0;0;285;950;20
19245;Сретенский бульвар, проспект ак. Сахарова, здание Lukoil;8;in;55.7663399296;37.6367092064;750;47;22;0;0;285;950;20
19246;Сретенский бульвар, проспект ак. Сахарова, здание Lukoil;8;out;55.7663399296;37.6367092064;750;25;0;0;0;285;950;20
19247;Сретенский бульвар, проспект ак. Сахарова, здание Lukoil;95;both;55.7663399296;37.6367092064;790;68;23;0;0;285;950;20
19250;Тургеневская площадь (внешняя сторона Бульварного кольца);219;both;55.76567532;37.6375741499999;790;41;21;0;0;405;905;20
19251;Тургеневская площадь (внешняя сторона Бульварного кольца);8;in;55.76567532;37.6375741499999;750;43;43;0;0;0;0;0
